Terminal,Date,CruiseLine,ShipName,EmbarkPAX,DebarkPAX,In-TransitPAX,TotalPAX,SPConnect,Usage(kWh),CallDuration,ConnectionDuration
MCT,8/15/2023,Atlantic Cruises,Mercedes,1,2,1720,1723,No ,0,15:37:40,0:00:00
BCT,5/20/2023,Arctic Cruises,Red Feather,4275,4275,6,8556,No ,0,22:01:05,0:00:00
MCT,11/26/2023,American Cruises,Orca,4721,4550,29,9300,No ,0,23:27:12,0:00:00
MCT,9/29/2023,American Cruises,Orca,4879,4754,29,9662,No ,0,14:03:38,0:00:00
MCT,6/26/2023,Pacific Cruises,Jaguar,416,426,8,850,No ,0,16:07:22,0:00:00
MCT,8/7/2023,Atlantic Cruises,Mercedes,807,918,5,1730,No ,0,8:34:52,0:00:00
BCT,10/30/2023,Pacific Cruises,Tiger,5346,5346,6,10698,No ,0,3:40:58,0:00:00
MCT,1/25/2023,American Cruises,Bottlenose,2696,4736,11,7443,No ,0,16:03:39,0:00:00
MCT,10/22/2023,Pacific Cruises,Jaguar,4742,4868,23,9633,No ,0,11:26:02,0:00:00
MCT,2/1/2023,Atlantic Cruises,BWM,1,8,1785,1794,No ,0,13:59:07,0:00:00
BCT,6/13/2023,Atlantic Cruises,BWM,1641,1641,368,3650,Yes,27594,3:11:53,3:11:53
MCT,5/12/2023,American Cruises,Orca,4523,2655,10,7188,No ,0,14:44:05,0:00:00
BCT,3/17/2023,American Cruises,Orca,5604,5604,3,11211,No ,0,12:12:36,0:00:00
MCT,11/14/2023,American Cruises,Orca,4901,4748,21,9670,No ,0,17:48:48,0:00:00
BCT,7/9/2023,Pacific Cruises,Jaguar,203,203,411,817,No ,0,7:23:51,0:00:00
BCT,12/27/2023,American Cruises,Spinner,2335,2335,0,4670,No ,0,7:13:31,0:00:00
MCT,12/25/2023,American Cruises,Spinner,4570,4516,10,9096,No ,0,13:26:44,0:00:00
MCT,1/9/2023,Arctic Cruises,Red Feather,858,766,8,1632,No ,0,6:04:12,0:00:00
MCT,10/3/2023,Pacific Cruises,Jaguar,4896,4890,20,9806,No ,0,8:02:27,0:00:00
BCT,2/16/2023,Atlantic Cruises,Audi,1256,1256,,2512,No ,0,8:54:39,0:00:00
MCT,12/16/2023,Pacific Cruises,Tiger,4635,4565,19,9219,No ,0,1:57:47,0:00:00
MCT,10/1/2023,Arctic Cruises,Kestrel,4949,4891,22,9862,No ,0,20:12:17,0:00:00
BCT,2/6/2023,Arctic Cruises,Peregrine,2246,2246,407,4899,No ,0,20:32:52,0:00:00
BCT,10/7/2023,Pacific Cruises,Jaguar,5542,5542,,11084,No ,0,16:02:21,0:00:00
MCT,11/20/2023,Atlantic Cruises,BWM,4614,4633,15,9262,No ,0,17:27:49,0:00:00
MCT,10/7/2023,Pacific Cruises,Lion,4850,4946,43,9839,No ,0,0:44:06,0:00:00
BCT,5/14/2023,Arctic Cruises,Peregrine,498,498,3158,4154,Yes,77117,8:36:56,8:36:56
MCT,5/30/2023,Arctic Cruises,Red Feather,5,5,1854,1864,No ,0,21:38:19,0:00:00
BCT,12/26/2023,American Cruises,Orca,1633,1633,,3266,No ,0,15:17:24,0:00:00
MCT,6/13/2023,American Cruises,Bottlenose,4609,4593,15,9217,No ,0,6:52:40,0:00:00
MCT,8/24/2023,Pacific Cruises,Tiger,592,566,19,1177,No ,0,9:23:28,0:00:00
MCT,12/21/2023,Pacific Cruises,Lion,4941,4852,22,9815,No ,0,12:24:06,0:00:00
BCT,7/25/2023,American Cruises,Spinner,5466,5466,,10932,No ,0,3:11:03,0:00:00
MCT,3/27/2023,Atlantic Cruises,BWM,4577,4606,14,9197,No ,0,2:32:49,0:00:00
MCT,2/10/2023,Pacific Cruises,Tiger,894,868,10,1772,No ,0,11:57:13,0:00:00
MCT,8/1/2023,Atlantic Cruises,Mercedes,1,1,1874,1876,No ,0,3:11:25,0:00:00
MCT,1/3/2023,American Cruises,Spinner,4947,4939,19,9905,No ,0,23:55:10,0:00:00
BCT,5/25/2023,Atlantic Cruises,Audi,1483,1483,,2966,No ,0,6:09:56,0:00:00
MCT,12/11/2023,American Cruises,Bottlenose,4658,4574,14,9246,No ,0,8:43:16,0:00:00
BCT,6/15/2023,Arctic Cruises,Red Feather,2913,2913,81,5907,No ,0,23:20:50,0:00:00
MCT,3/8/2023,Pacific Cruises,Tiger,4806,4949,55,9810,No ,0,19:04:58,0:00:00
MCT,4/24/2023,Arctic Cruises,Peregrine,81,117,1770,1968,No ,0,13:29:08,0:00:00
MCT,1/29/2023,Pacific Cruises,Lion,358,295,1,654,No ,0,19:02:30,0:00:00
BCT,10/20/2023,Atlantic Cruises,Audi,807,807,320,1934,Yes,40369,5:24:53,5:24:53
MCT,10/16/2023,Pacific Cruises,Tiger,4770,4805,8,9583,No ,0,16:48:39,0:00:00
MCT,8/3/2023,Pacific Cruises,Jaguar,4475,4670,6,9151,No ,0,4:56:17,0:00:00
BCT,1/31/2023,American Cruises,Orca,1745,1745,353,3843,No ,0,19:13:22,0:00:00
MCT,11/21/2023,Atlantic Cruises,Mercedes,,5146,9,5155,No ,0,17:50:22,0:00:00
MCT,8/15/2023,Pacific Cruises,Tiger,4863,4773,20,9656,No ,0,21:21:01,0:00:00
MCT,3/5/2023,Arctic Cruises,Red Feather,,,1759,1759,No ,0,4:14:12,0:00:00
BCT,4/23/2023,American Cruises,Orca,5608,5608,51,11267,No ,0,15:51:40,0:00:00
MCT,4/7/2023,American Cruises,Orca,4840,5129,24,9993,No ,0,1:15:21,0:00:00
BCT,2/1/2023,American Cruises,Spinner,2005,2005,100,4110,No ,0,20:25:09,0:00:00
MCT,2/7/2023,Arctic Cruises,Peregrine,4560,4461,10,9031,No ,0,6:30:29,0:00:00
MCT,9/2/2023,Atlantic Cruises,Audi,626,600,18,1244,No ,0,11:57:32,0:00:00
MCT,3/31/2023,American Cruises,Orca,912,909,,1821,No ,0,23:01:01,0:00:00
MCT,4/29/2023,American Cruises,Orca,4611,4863,21,9495,No ,0,6:39:36,0:00:00
MCT,3/5/2023,Arctic Cruises,Peregrine,4268,4851,10,9129,No ,0,14:29:41,0:00:00
BCT,11/7/2023,Arctic Cruises,Kestrel,1316,1316,31,2663,No ,0,4:03:21,0:00:00
MCT,7/22/2023,American Cruises,Spinner,3605,4547,16,8168,No ,0,13:41:47,0:00:00
MCT,7/27/2023,American Cruises,Orca,812,874,11,1697,No ,0,19:22:04,0:00:00
MCT,12/23/2023,Atlantic Cruises,Mercedes,,,1783,1783,No ,0,16:22:14,0:00:00
MCT,7/26/2023,American Cruises,Spinner,637,638,7,1282,No ,0,14:53:17,0:00:00
MCT,6/30/2023,American Cruises,Orca,321,370,,691,No ,0,20:39:38,0:00:00
MCT,10/9/2023,Pacific Cruises,Lion,4292,4596,33,8921,No ,0,15:25:43,0:00:00
BCT,3/8/2023,Arctic Cruises,Peregrine,2255,2255,451,4961,No ,0,21:45:23,0:00:00
BCT,9/5/2023,Pacific Cruises,Tiger,1681,1681,63,3425,No ,0,23:03:56,0:00:00
MCT,10/14/2023,American Cruises,Bottlenose,4039,4251,13,8303,No ,0,10:04:29,0:00:00
BCT,3/26/2023,Pacific Cruises,Jaguar,1567,1567,311,3445,No ,0,8:38:40,0:00:00
MCT,12/16/2023,American Cruises,Orca,1,1,679,681,No ,0,15:12:46,0:00:00
MCT,6/27/2023,Pacific Cruises,Lion,586,635,7,1228,No ,0,18:14:38,0:00:00
MCT,3/4/2023,American Cruises,Orca,303,299,10,612,No ,0,16:54:02,0:00:00
MCT,1/26/2023,Atlantic Cruises,BWM,2000,2017,48,4065,No ,0,22:46:06,0:00:00
BCT,3/28/2023,Arctic Cruises,Peregrine,1846,1846,29,3721,No ,0,15:18:40,0:00:00
MCT,2/25/2023,Atlantic Cruises,Audi,3962,4241,61,8264,No ,0,0:46:02,0:00:00
BCT,7/19/2023,Atlantic Cruises,Audi,,,313,313,No ,0,6:27:12,0:00:00
MCT,7/12/2023,American Cruises,Bottlenose,4288,1026,18,5332,No ,0,12:12:21,0:00:00
MCT,11/2/2023,American Cruises,Spinner,,3000,,3000,No ,0,7:26:10,0:00:00
MCT,1/18/2023,Arctic Cruises,Peregrine,618,633,21,1272,No ,0,0:11:10,0:00:00
MCT,3/24/2023,Pacific Cruises,Lion,1988,1932,28,3948,No ,0,5:27:44,0:00:00
MCT,6/23/2023,Atlantic Cruises,BWM,0,0,0,0,No ,0,11:35:40,0:00:00
BCT,1/20/2023,Pacific Cruises,Tiger,4286,3966,55,8307,No ,0,8:12:20,0:00:00
MCT,12/26/2023,Arctic Cruises,Kestrel,3,3,1598,1604,No ,0,6:48:00,0:00:00
BCT,2/7/2023,American Cruises,Bottlenose,2719,2637,120,5476,Yes,77345,9:43:57,9:43:57
BCT,11/15/2023,American Cruises,Bottlenose,,2,1762,1764,No ,0,17:42:07,0:00:00
MCT,5/13/2023,Pacific Cruises,Lion,629,575,12,1216,No ,0,0:46:25,0:00:00
MCT,7/19/2023,Pacific Cruises,Lion,4206,3387,46,7639,No ,0,21:19:20,0:00:00
BCT,1/2/2023,Arctic Cruises,Kestrel,2921,2758,12,5691,No ,0,20:09:23,0:00:00
MCT,10/30/2023,American Cruises,Spinner,4056,3962,66,8084,No ,0,8:17:35,0:00:00
BCT,5/31/2023,American Cruises,Bottlenose,3385,3966,336,7687,No ,0,5:01:16,0:00:00
MCT,8/2/2023,American Cruises,Orca,,3,202,205,No ,0,4:44:07,0:00:00
MCT,5/7/2023,American Cruises,Bottlenose,4289,4256,26,8571,No ,0,2:24:19,0:00:00
MCT,9/14/2023,Pacific Cruises,Jaguar,18,4,287,309,No ,0,22:47:37,0:00:00
MCT,10/19/2023,Pacific Cruises,Lion,3476,4214,41,7731,No ,0,2:15:29,0:00:00
MCT,11/5/2023,Atlantic Cruises,Mercedes,214,409,28,651,No ,0,13:24:49,0:00:00
MCT,1/23/2023,Arctic Cruises,Kestrel,542,552,88,1182,No ,0,23:14:15,0:00:00
MCT,6/26/2023,Pacific Cruises,Tiger,884,893,4,1781,No ,0,15:37:06,0:00:00
MCT,9/26/2023,Arctic Cruises,Red Feather,239,225,21,485,No ,0,16:06:23,0:00:00
MCT,10/25/2023,Arctic Cruises,Red Feather,3531,2812,17,6360,No ,0,8:36:52,0:00:00
BCT,10/26/2023,Atlantic Cruises,BWM,1501,1478,883,3862,No ,0,2:27:50,0:00:00
MCT,10/3/2023,Arctic Cruises,Peregrine,3802,4053,98,7953,No ,0,1:29:16,0:00:00
BCT,8/12/2023,Pacific Cruises,Lion,2857,2918,15,5790,No ,0,0:29:25,0:00:00
MCT,10/22/2023,Arctic Cruises,Red Feather,17,45,1732,1794,No ,0,21:18:36,0:00:00
MCT,6/7/2023,Pacific Cruises,Lion,4341,4295,14,8650,No ,0,5:41:25,0:00:00
MCT,12/24/2023,Arctic Cruises,Kestrel,3662,3528,8,7198,No ,0,6:25:50,0:00:00
BCT,8/24/2023,American Cruises,Spinner,3890,3710,0,7600,No ,0,15:43:45,0:00:00
MCT,6/14/2023,Pacific Cruises,Lion,0,2,1572,1574,No ,0,15:08:19,0:00:00
MCT,4/2/2023,Pacific Cruises,Tiger,0,5,314,319,No ,0,4:42:07,0:00:00
MCT,2/14/2023,Atlantic Cruises,BWM,336,329,6,671,No ,0,2:42:54,0:00:00
BCT,11/6/2023,Pacific Cruises,Tiger,2982,2956,9,5947,Yes,68166,7:41:54,7:41:54
MCT,6/24/2023,Pacific Cruises,Jaguar,3636,3662,18,7316,No ,0,7:42:49,0:00:00
MCT,3/12/2023,Arctic Cruises,Peregrine,36,90,0,126,No ,0,17:20:15,0:00:00
MCT,4/19/2023,Arctic Cruises,Kestrel,4432,4336,17,8785,No ,0,1:47:17,0:00:00
MCT,12/1/2023,Atlantic Cruises,Mercedes,53,136,93,282,No ,0,8:39:10,0:00:00
MCT,8/6/2023,American Cruises,Spinner,12,16,875,903,No ,0,4:15:38,0:00:00
BCT,7/27/2023,Atlantic Cruises,Mercedes,2730,2617,42,5389,Yes,71008,9:16:29,9:16:29
MCT,12/26/2023,American Cruises,Spinner,641,579,9,1229,No ,0,4:07:25,0:00:00
MCT,8/6/2023,Pacific Cruises,Tiger,2,11,1143,1156,No ,0,4:17:37,0:00:00
MCT,11/3/2023,Pacific Cruises,Jaguar,0,11,1440,1451,No ,0,0:06:35,0:00:00
MCT,10/6/2023,American Cruises,Spinner,3896,3561,39,7496,No ,0,8:24:12,0:00:00
MCT,6/28/2023,American Cruises,Spinner,391,369,10,770,No ,0,10:11:27,0:00:00
MCT,1/13/2023,American Cruises,Bottlenose,317,363,10,690,No ,0,14:26:41,0:00:00
MCT,12/11/2023,American Cruises,Bottlenose,12,14,949,975,No ,0,6:22:35,0:00:00
BCT,5/13/2023,American Cruises,Spinner,1325,1398,902,3625,Yes,41767,5:20:19,5:20:19
MCT,2/24/2023,Pacific Cruises,Tiger,3822,3632,16,7470,No ,0,22:13:00,0:00:00
BCT,8/15/2023,Pacific Cruises,Lion,2919,2971,17,5907,Yes,67382,8:26:54,8:26:54
MCT,7/21/2023,Pacific Cruises,Jaguar,4021,3888,102,8011,No ,0,15:29:36,0:00:00
BCT,10/5/2023,American Cruises,Spinner,3741,3877,2,7620,No ,0,16:23:06,0:00:00
MCT,2/21/2023,Arctic Cruises,Red Feather,4366,4434,4,8804,No ,0,3:00:34,0:00:00
MCT,12/1/2023,Atlantic Cruises,Mercedes,3887,3895,39,7821,No ,0,11:22:26,0:00:00
MCT,5/18/2023,Pacific Cruises,Tiger,3421,3821,76,7318,No ,0,17:29:21,0:00:00
MCT,6/24/2023,American Cruises,Spinner,309,304,81,694,No ,0,5:55:19,0:00:00
MCT,12/23/2023,Atlantic Cruises,Mercedes,4,1,1610,1615,No ,0,2:50:16,0:00:00
MCT,5/20/2023,American Cruises,Orca,0,14,275,289,No ,0,0:30:30,0:00:00
BCT,7/23/2023,Arctic Cruises,Red Feather,2937,2938,11,5886,Yes,66437,8:03:56,8:03:56
MCT,10/6/2023,American Cruises,Orca,3634,3239,64,6937,No ,0,18:57:26,0:00:00
MCT,7/27/2023,Arctic Cruises,Peregrine,4450,4327,38,8815,No ,0,17:39:34,0:00:00
MCT,1/31/2023,Arctic Cruises,Peregrine,4289,4071,35,8395,No ,0,3:26:30,0:00:00
BCT,5/8/2023,Arctic Cruises,Red Feather,3060,3327,410,6797,No ,0,15:53:37,0:00:00
MCT,8/18/2023,Arctic Cruises,Kestrel,252,333,9,594,No ,0,5:23:45,0:00:00
BCT,6/18/2023,American Cruises,Bottlenose,1,33,2394,2428,Yes,93310,0:31:00,0:31:00
MCT,1/24/2023,Atlantic Cruises,BWM,3237,3627,25,6889,No ,0,23:54:48,0:00:00
MCT,4/12/2023,Atlantic Cruises,Mercedes,4,0,961,965,No ,0,3:59:37,0:00:00
BCT,3/4/2023,Arctic Cruises,Peregrine,2707,2921,26,5654,Yes,47420,5:42:14,5:42:14
MCT,9/2/2023,American Cruises,Bottlenose,3952,4220,74,8246,No ,0,4:40:52,0:00:00
MCT,11/18/2023,Atlantic Cruises,Audi,4345,4460,25,8830,No ,0,8:40:03,0:00:00
MCT,7/25/2023,Arctic Cruises,Kestrel,5,21,135,161,No ,0,6:59:24,0:00:00
MCT,12/3/2023,Pacific Cruises,Jaguar,396,359,34,789,No ,0,20:57:27,0:00:00
BCT,9/17/2023,American Cruises,Spinner,1,16,198,215,Yes,20,0:11:00,0:11:00
MCT,6/27/2023,Arctic Cruises,Peregrine,3782,3237,34,7053,No ,0,15:43:26,0:00:00
MCT,10/15/2023,Arctic Cruises,Kestrel,613,589,38,1240,No ,0,21:41:45,0:00:00
MCT,6/12/2023,American Cruises,Orca,25,12,321,358,No ,0,3:51:59,0:00:00
BCT,3/15/2023,American Cruises,Orca,2619,2637,95,5351,Yes,66439,8:18:59,8:18:59
MCT,10/4/2023,Atlantic Cruises,BWM,3939,3178,42,7159,No ,0,0:09:43,0:00:00
MCT,5/20/2023,American Cruises,Bottlenose,3762,3781,37,7580,No ,0,7:46:12,0:00:00
BCT,5/6/2023,American Cruises,Bottlenose,4136,3457,3,7596,No ,0,18:46:43,0:00:00
MCT,7/13/2023,Pacific Cruises,Tiger,5082,4346,19,9447,No ,0,12:40:22,0:00:00
MCT,12/28/2023,Atlantic Cruises,BWM,3942,3810,131,7883,No ,0,9:05:25,0:00:00
MCT,4/30/2023,Pacific Cruises,Jaguar,4640,5070,28,9738,No ,0,8:40:39,0:00:00
MCT,5/29/2023,Arctic Cruises,Red Feather,11,3,616,630,No ,0,3:38:11,0:00:00
BCT,9/21/2023,Atlantic Cruises,BWM,3937,3989,148,8074,No ,0,23:26:27,0:00:00
MCT,11/22/2023,Pacific Cruises,Jaguar,7,8,262,277,No ,0,15:28:37,0:00:00
MCT,3/3/2023,Atlantic Cruises,Mercedes,0,4663,22,4685,No ,0,21:38:51,0:00:00
MCT,9/24/2023,Atlantic Cruises,Audi,0,1961,0,1961,No ,0,1:37:55,0:00:00
MCT,2/21/2023,American Cruises,Orca,615,476,27,1118,No ,0,20:07:31,0:00:00
BCT,3/3/2023,Atlantic Cruises,BWM,4091,4005,63,8159,No ,0,5:43:58,0:00:00
MCT,8/20/2023,American Cruises,Bottlenose,4557,3940,19,8516,No ,0,12:32:35,0:00:00
MCT,9/23/2023,American Cruises,Bottlenose,4195,3950,111,8256,No ,0,2:58:21,0:00:00
BCT,5/9/2023,Arctic Cruises,Red Feather,1746,1545,645,3936,No ,0,12:30:46,0:00:00
MCT,10/31/2023,Arctic Cruises,Peregrine,4097,4557,11,8665,No ,0,17:20:04,0:00:00
BCT,12/10/2023,American Cruises,Bottlenose,4320,4086,57,8463,No ,0,15:58:33,0:00:00
MCT,11/19/2023,Arctic Cruises,Kestrel,3437,3382,450,7269,No ,0,23:39:10,0:00:00
MCT,9/2/2023,American Cruises,Bottlenose,4037,4198,82,8317,No ,0,13:36:49,0:00:00
MCT,12/14/2023,Pacific Cruises,Jaguar,3101,2759,79,5939,No ,0,15:36:31,0:00:00
BCT,3/1/2023,American Cruises,Bottlenose,4068,4256,120,8444,No ,0,5:41:45,0:00:00
MCT,12/29/2023,Atlantic Cruises,Audi,4098,4089,20,8207,No ,0,10:38:40,0:00:00
BCT,2/16/2023,Arctic Cruises,Peregrine,1647,1740,650,4037, Partial ,0,7:27:57,0:00:00
BCT,5/16/2023,American Cruises,Bottlenose,4215,4187,3,8405,No ,0,23:29:53,0:00:00
MCT,1/18/2023,Arctic Cruises,Kestrel,4428,4113,94,8635,No ,0,15:19:29,0:00:00
BCT,8/20/2023,Arctic Cruises,Kestrel,2886,4206,5,7097,No ,0,2:11:04,0:00:00
MCT,11/12/2023,Pacific Cruises,Lion,4516,4095,8,8619,No ,0,2:53:46,0:00:00
MCT,5/4/2023,Atlantic Cruises,Audi,4629,4420,73,9122,No ,0,14:47:36,0:00:00
MCT,8/30/2023,Pacific Cruises,Tiger,0,1722,0,1722,No ,0,22:56:34,0:00:00
MCT,7/9/2023,Atlantic Cruises,BWM,4582,4511,13,9106,No ,0,12:57:42,0:00:00
BCT,9/20/2023,Atlantic Cruises,Mercedes,1775,1634,728,4137,No ,0,12:10:31,0:00:00
BCT,2/10/2023,Atlantic Cruises,BWM,5552,2871,7,8430,No ,0,16:54:31,0:00:00
MCT,11/5/2023,Arctic Cruises,Kestrel,4854,4611,84,9549,No ,0,8:05:41,0:00:00
BCT,10/16/2023,Arctic Cruises,Red Feather,5226,5535,11,10772,No ,0,6:59:06,0:00:00
MCT,5/10/2024,Arctic Cruises,Peregrine,4561,4539,13,9113,No ,0,21:16:43,0:00:00
BCT,4/14/2024,Pacific Cruises,Tiger,1592,1811,673,4076,No ,0,21:23:42,0:00:00
BCT,1/20/2024,American Cruises,Orca,2891,5205,26,8122,No ,0,7:12:50,0:00:00
MCT,3/15/2024,Arctic Cruises,Peregrine,4460,4847,52,9359,No ,0,8:42:39,0:00:00
MCT,3/29/2024,Arctic Cruises,Peregrine,4381,4526,24,8931,No ,0,2:43:22,0:00:00
MCT,5/23/2024,Atlantic Cruises,Audi,4155,4457,80,8692,No ,0,23:38:07,0:00:00
BCT,10/6/2024,American Cruises,Orca,3959,2855,48,6862,No ,0,11:23:29,0:00:00
MCT,7/14/2024,Pacific Cruises,Tiger,4077,4368,42,8487,No ,0,15:01:25,0:00:00
MCT,3/26/2024,Arctic Cruises,Kestrel,4125,4152,150,8427,No ,0,21:33:24,0:00:00
BCT,6/25/2024,Atlantic Cruises,Mercedes,2325,3928,55,6308,No ,0,1:59:40,0:00:00
MCT,5/30/2024,Pacific Cruises,Tiger,4104,4050,50,8204,No ,0,2:26:22,0:00:00
MCT,1/29/2024,Atlantic Cruises,Audi,4310,4086,128,8524,No ,0,16:25:39,0:00:00
BCT,8/26/2024,Arctic Cruises,Peregrine,3148,2349,25,5522,No ,0,5:48:10,0:00:00
MCT,4/1/2024,Atlantic Cruises,Audi,4054,4096,46,8196,No ,0,14:48:21,0:00:00
BCT,9/2/2024,American Cruises,Bottlenose,3925,3161,6,7092,No ,0,1:27:32,0:00:00
MCT,9/18/2024,Arctic Cruises,Peregrine,4107,4314,70,8491,No ,0,14:20:02,0:00:00
MCT,12/8/2024,Arctic Cruises,Peregrine,4542,4057,27,8626,No ,0,16:01:54,0:00:00
BCT,9/12/2024,Pacific Cruises,Tiger,5477,3918,6,9401,No ,0,13:20:20,0:00:00
MCT,12/11/2024,Pacific Cruises,Lion,4211,4091,110,8412,No ,0,18:26:53,0:00:00
BCT,7/19/2024,Pacific Cruises,Jaguar,4372,5471,2,9845,No ,0,8:06:17,0:00:00
MCT,10/25/2024,American Cruises,Spinner,4174,4531,25,8730,No ,0,5:11:33,0:00:00
BCT,3/10/2024,Pacific Cruises,Tiger,5139,4363,2,9504,No ,0,8:46:37,0:00:00
MCT,5/30/2024,American Cruises,Bottlenose,4054,4190,93,8337,No ,0,6:24:15,0:00:00
MCT,10/27/2024,Pacific Cruises,Jaguar,4368,4182,14,8564,No ,0,5:40:35,0:00:00
BCT,2/28/2024,Arctic Cruises,Peregrine,4723,5122,11,9856,No ,0,16:02:50,0:00:00
MCT,3/28/2024,American Cruises,Orca,4270,4030,63,8363,No ,0,18:44:56,0:00:00
BCT,7/6/2024,Pacific Cruises,Tiger,4421,4728,13,9162,No ,0,11:28:39,0:00:00
MCT,6/22/2024,Atlantic Cruises,Audi,4255,4337,32,8624,No ,0,16:35:04,0:00:00
BCT,10/28/2024,Atlantic Cruises,Mercedes,4900,4415,6,9321,No ,0,14:01:19,0:00:00
MCT,8/11/2024,American Cruises,Spinner,4740,4250,29,9019,No ,0,4:47:30,0:00:00
MCT,7/30/2024,Pacific Cruises,Tiger,4639,4261,34,8934,No ,0,22:24:30,0:00:00
BCT,11/12/2024,Pacific Cruises,Tiger,5322,4902,6,10230,No ,0,6:51:49,0:00:00
MCT,3/9/2024,American Cruises,Bottlenose,4715,4698,29,9442,No ,0,20:15:53,0:00:00
MCT,10/21/2024,American Cruises,Orca,306,225,1905,2436,No ,0,13:37:31,0:00:00
MCT,6/20/2024,Atlantic Cruises,BWM,4382,4633,48,9063,No ,0,0:18:13,0:00:00
BCT,7/6/2024,Pacific Cruises,Tiger,4211,5295,33,9539,No ,0,6:47:08,0:00:00
MCT,9/1/2024,Pacific Cruises,Jaguar,4044,4715,25,8784,No ,0,16:30:54,0:00:00
MCT,2/2/2024,Arctic Cruises,Peregrine,5,3,359,367,No ,0,20:02:39,0:00:00
MCT,1/13/2024,Pacific Cruises,Jaguar,4081,2,10,4093,No ,0,0:00:51,0:00:00
MCT,8/1/2024,Pacific Cruises,Jaguar,609,638,44,1291,No ,0,9:02:28,0:00:00
MCT,1/12/2024,Atlantic Cruises,Mercedes,4270,11,8,4289,No ,0,8:28:30,0:00:00
MCT,1/15/2024,Arctic Cruises,Peregrine,4619,4259,15,8893,No ,0,13:49:22,0:00:00
MCT,3/4/2024,American Cruises,Orca,4190,4375,75,8640,No ,0,5:17:21,0:00:00
MCT,6/14/2024,American Cruises,Spinner,1,3,362,366,No ,0,6:12:49,0:00:00
BCT,4/15/2024,Arctic Cruises,Peregrine,4760,4179,38,8977,No ,0,17:13:39,0:00:00
MCT,6/15/2024,American Cruises,Spinner,4330,4009,32,8371,No ,0,8:15:10,0:00:00
MCT,7/22/2024,Arctic Cruises,Peregrine,4846,4611,15,9472,No ,0,16:25:50,0:00:00
MCT,11/17/2024,Atlantic Cruises,BWM,366,8,2925,3299,No ,0,2:59:16,0:00:00
MCT,3/14/2024,Arctic Cruises,Kestrel,2234,0,11,2245,No ,0,13:05:11,0:00:00
MCT,10/18/2024,Atlantic Cruises,Mercedes,4253,4187,75,8515,No ,0,11:41:24,0:00:00
MCT,1/27/2024,Arctic Cruises,Peregrine,3025,3151,30,6206,No ,0,21:59:43,0:00:00
BCT,1/30/2024,Atlantic Cruises,Mercedes,4369,4763,20,9152,No ,0,6:00:09,0:00:00
MCT,4/26/2024,Arctic Cruises,Kestrel,4258,4841,18,9117,No ,0,9:29:33,0:00:00
MCT,11/4/2024,Atlantic Cruises,BWM,352,339,4,695,No ,0,16:19:49,0:00:00
MCT,1/1/2024,Atlantic Cruises,Audi,3549,4322,21,7892,No ,0,12:42:22,0:00:00
MCT,10/4/2024,American Cruises,Bottlenose,0,0,765,765,No ,0,21:10:52,0:00:00
BCT,3/12/2024,Pacific Cruises,Tiger,2626,4190,196,7012,No ,0,9:48:56,0:00:00
BCT,9/17/2024,Pacific Cruises,Tiger,2117,2157,167,4441,No ,0,1:34:02,0:00:00
MCT,10/10/2024,Atlantic Cruises,Audi,4169,4258,15,8442,No ,0,6:05:50,0:00:00
MCT,12/10/2024,Pacific Cruises,Tiger,4071,4242,53,8366,No ,0,13:57:58,0:00:00
BCT,6/3/2024,Atlantic Cruises,Mercedes,3644,2802,3,6449,No ,0,11:02:15,0:00:00
MCT,8/7/2024,Atlantic Cruises,BWM,4309,4163,14,8486,No ,0,15:43:48,0:00:00
MCT,4/7/2024,Pacific Cruises,Jaguar,91,0,3,94,No ,0,1:28:44,0:00:00
MCT,9/6/2024,American Cruises,Spinner,4374,4068,88,8530,No ,0,20:49:54,0:00:00
BCT,2/3/2024,Pacific Cruises,Tiger,4449,3632,3,8084,No ,0,22:49:49,0:00:00
MCT,7/11/2024,American Cruises,Bottlenose,4375,4308,18,8701,No ,0,10:49:10,0:00:00
MCT,12/31/2024,Arctic Cruises,Peregrine,1,0,436,437,No ,0,3:44:47,0:00:00
BCT,12/11/2024,Atlantic Cruises,BWM,2234,2265,154,4653,No ,0,0:11:09,0:00:00
BCT,12/4/2024,Atlantic Cruises,Audi,4445,4457,4,8906,No ,0,12:39:38,0:00:00
MCT,12/6/2024,Atlantic Cruises,Audi,4458,4371,13,8842,No ,0,9:04:07,0:00:00
MCT,11/23/2024,American Cruises,Bottlenose,4607,4376,49,9032,No ,0,16:55:55,0:00:00
MCT,9/27/2024,Arctic Cruises,Peregrine,658,421,12,1091,No ,0,22:11:27,0:00:00
BCT,1/27/2024,Pacific Cruises,Lion,4603,4441,3,9047,No ,0,3:53:51,0:00:00
MCT,8/24/2024,Pacific Cruises,Jaguar,4556,4460,11,9027,No ,0,16:55:52,0:00:00
MCT,2/25/2024,Arctic Cruises,Peregrine,63,13,475,551,No ,0,3:54:06,0:00:00
BCT,12/9/2024,Pacific Cruises,Jaguar,1510,1939,128,3577,No ,0,3:28:30,0:00:00
MCT,3/15/2024,Atlantic Cruises,Mercedes,4693,4610,41,9344,No ,0,2:31:46,0:00:00
BCT,7/22/2024,American Cruises,Spinner,4812,4595,4,9411,No ,0,14:51:38,0:00:00
MCT,6/11/2024,Arctic Cruises,Kestrel,4268,4556,7,8831,No ,0,5:25:09,0:00:00
